PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,Oi 6,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
37,10/5/2024,15:58.6,1,4,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Goddard, P",24,Undefined,ASH_UNI,Undefined,2,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.35458,0.001076,2.171967,2271.459374,306.148785,4:15,5.47148,-3.07191,6.03782,-45.80148,-1.95437,4.40162,1.65569,-0.69307,73.54395,-8.405303,2.964596,0.476586,,,,,,,,,,,,-1.71685,-0.68658,2.90001,50,5.44645,-4.53199,-115.3764,-1.41839,-2.32601,20.44423,-33.10422,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,1ba5f0e0-8335-11ef-8cc6-2f507be82399,79.08835,,,5.81063,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,15:58.6,2024-10-05T12:15:58.5549836-04:00,2024-10-05T16:15:58.5549836Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,9cd216fe-0624-4f48-8f24-b2eb11e48954,54.46338,-116.1646,10.22212,5.47654,-0.1421,-16.55211,3.07301,-4.44231,-1.16301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,329.939141,-64.912621,963.098611,0.424,5:00,0.8911,-0.212407,0.401029,-79.142181,-0.09937,54.869208,155.915359,-33.615005,0.339844,-0.55361,-0.760278,36.060895,-19.867378,0.55361,-0.339844,0.760278,-36.060895,19.867378,-0.55361,0.339844,0.760278,-155.915359,33.615005,-0.339844,0.55361,-0.760278
38,10/5/2024,16:30.4,1,5,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Goddard, P",24,Undefined,ASH_UNI,Undefined,2,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.09746,-2.232732,3.929398,1673.843045,86.757937,9:00,5.2481,-2.95143,6.77656,-37.17167,0.47421,-13.59741,0.10608,-0.49125,77.94162,-9.166201,1.448555,0.441601,,,,,,,,,,,,8.46792,1.22626,2.70018,50,5.08833,-8.01564,-123.45626,-5.8896,12.96687,26.37146,-30.29627,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,2e9162c0-8335-11ef-8cc6-2f507be82399,85.35404,,,7.15584,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,16:30.4,2024-10-05T12:16:30.3726604-04:00,2024-10-05T16:16:30.3726604Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,57d0aee4-6a7a-437d-ab92-0a1e2e977875,53.7241,-124.24922,13.18573,5.25172,-4.97863,-15.14814,2.94706,-8.40554,6.48344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,109.440578,-25.950925,1505.068092,0.899169,9:45,0.423794,0.86431,-0.270865,-29.583665,-1.33964,-55.289763,102.419795,-28.389422,0.859149,-0.475462,-0.189207,68.3002,-59.221145,0.475462,-0.859149,0.189207,-68.3002,59.221145,-0.475462,0.859149,0.189207,-102.419795,28.389422,-0.859149,0.475462,-0.189207
39,10/5/2024,16:48.3,1,6,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Goddard, P",24,Undefined,ASH_UNI,Undefined,2,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,78.68472,0.767852,1.851578,2245.992089,288.901439,3:45,5.39379,-2.98378,5.81901,-48.13081,-2.61705,11.93233,2.09721,-0.26733,72.04502,-8.065744,3.990179,0.48556,,,,,,,,,,,,-5.53685,-1.11776,2.82518,50,5.42825,-4.14244,-114.23141,-0.01906,-7.26156,22.50398,-33.63999,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,393d51c0-8335-11ef-8cc6-2f507be82399,77.62674,,,6.6397,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,16:48.3,2024-10-05T12:16:48.2670000-04:00,2024-10-05T16:16:48.2670000Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,9e177ad9-7e5d-4eac-9b3d-e5305f4985af,54.68014,-115.14972,11.25199,5.40102,1.35368,-16.82,2.98817,-3.84613,-3.63078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4781,,,1.020972,,,,-1.32185,5.56354,-2.45765,69.54702,4.81388,-55.23215,-1.2621,74.88317,-5.39288,5.63727,14.61005,-15.06993,-2.51753,-56.60873,4.8525,High,High,High,,,High,Medium,Medium,327.604871,-64.017376,983.965889,0.438099,5:00,0.883281,-0.246739,0.398666,-81.121138,8.782777,45.539815,152.442924,-35.442259,0.376906,-0.579882,-0.722273,38.7595,-22.142191,0.579882,-0.376906,0.722273,-38.7595,22.142191,-0.579882,0.376906,0.722273,-152.442924,35.442259,-0.376906,0.579882,-0.722273
40,10/5/2024,17:16.9,2,1,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Franks, Chris",1000095644,Right,ASH_UNI,Undefined,2,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.69732,0.024101,1.268112,2233.018407,313.435252,4:30,5.41683,-2.982,5.75056,-52.68664,-7.31473,9.19961,1.04872,-1.03464,72.60018,-9.578542,2.918752,0.484803,,,,,,,,,,,,-4.37244,-3.42284,2.87087,50,5.38617,-2.86989,-114.37275,-1.66956,-5.77244,21.75086,-36.69281,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,4a4fe4f0-8335-11ef-8cc6-2f507be82399,77.74802,,,6.09714,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,17:16.9,2024-10-05T12:17:16.8889868-04:00,2024-10-05T16:17:16.8889868Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,20463af0-f8c4-443c-b262-ea2077ea52ec,54.75121,-115.27277,10.87543,5.42384,-0.15126,-18.3464,2.98468,-2.63104,-2.88622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,321.239081,-63.128387,1009.308291,0.451993,4:45,0.883884,-0.283355,0.372101,-89.183517,11.663931,44.859917,157.250062,-27.517092,0.342963,-0.462013,-0.817876,29.461856,-20.057478,0.462013,-0.342963,0.817876,-29.461856,20.057478,-0.462013,0.342963,0.817876,-157.250062,27.517092,-0.342963,0.462013,-0.817876
41,10/5/2024,17:32.5,2,2,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Franks, Chris",1000095644,Right,ASH_UNI,Undefined,2,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.02655,-0.869897,3.607858,2225.407452,147.455535,11:00,5.47364,-2.94107,6.58985,-23.4671,11.84662,-6.82315,2.71933,-0.19945,80.23738,-5.321326,2.370393,0.427704,89.43623,-6.079756,8.103543,,,,,19.44468,19.05611,6.616975,0.125308,4.67004,6.82961,2.69689,50,5.40415,-7.80308,-127.75765,-2.60034,7.67977,27.55454,-20.94289,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,539fc660-8335-11ef-8cc6-2f507be82399,88.12745,1.74293,,7.78917,,,,3.11482,1.74293,-0.06603,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,17:32.5,2024-10-05T12:17:32.5212172-04:00,2024-10-05T16:17:32.5212172Z,GroundBall,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,56449064-40d3-42e2-babc-dfad5fd554f2,53.90884,-128.59793,13.77727,5.47371,-1.96168,-10.47145,2.93842,-8.03728,3.83989,180,3.11176,129.28459,,,,,,,,1.74326,-13.90922,,,,,,,,-0.06647,18.40808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,125.407362,-35.924101,1802.123635,0.809795,10:15,0.605007,0.668857,-0.431968,53.063383,-36.950359,-16.76411,177.191185,1.605542,0.048984,0.028018,-0.998406,1.607473,2.807712,0.028018,0.048984,0.998406,-1.607473,-2.807712,-0.028018,-0.048984,0.998406,-177.191185,-1.605542,-0.048984,-0.028018,-0.998406
42,10/5/2024,18:06.6,3,1,"Tabor, Jacob",1000282880,Left,TOL_ROC,"Scott, Cameron",1000370417,Right,ASH_UNI,Undefined,2,Top,2,0,0,Fastball,Sinker,InPlay,Undefined,Bunt,Out,1,0,,87.46798,-1.832095,3.891966,2271.295883,141.962856,10:45,5.51644,-2.83879,6.47831,-24.66202,11.15489,-7.84079,1.77451,0.08706,80.17438,-6.472765,2.473046,0.43074,,,,,,,,,,,,5.2124,6.69591,2.56812,50,5.37631,-8.33911,-126.8816,-4.78163,8.4963,25.98559,-21.25963,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,67ebb2a0-8335-11ef-8cc6-2f507be82399,87.50619,,,7.2936,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,18:06.6,2024-10-05T12:18:06.6104332-04:00,2024-10-05T16:18:06.6104332Z,,v3,471468,,,"White, Brayden",1000223004,Right,TOL_ROC,8f1bf7ad-a0c8-4a9b-83e5-243128ba07f7,54.02061,-127.70237,12.9928,5.51674,-4.11013,-10.62982,2.83575,-8.60748,4.24815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,127.213643,-37.867712,1793.029392,0.78943,10:15,0.624465,0.647995,-0.436058,50.496738,-47.156474,-10.780627,179.171479,-1.597514,0.014454,-0.027878,-0.999507,1.597681,-0.828199,0.027878,-0.014454,0.999507,-1.597681,0.828199,-0.027878,0.014454,0.999507,-179.171479,1.597514,-0.014454,0.027878,-0.999507
43,10/5/2024,19:56.8,1,1,"Beaver, Brendan",1000347722,Left,ASH_UNI,"White, Brayden",1000223004,Right,TOL_ROC,Undefined,2,Bottom,0,0,0,Slider,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,71.55931,0.339375,2.873856,1671.531835,106.810411,9:30,5.51626,-1.98546,6.33245,-48.48101,6.22768,-13.84213,1.78906,-0.49055,64.68999,-8.730046,0.36849,0.532353,,,,,,,,,,,,8.16532,3.72288,1.78212,50,5.5186,-4.75765,-103.74667,-0.6423,8.7161,20.69084,-28.20005,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,a9abab00-8335-11ef-8cc6-2f507be82399,70.8035,,,6.86932,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,19:56.8,2024-10-05T12:19:56.7616012-04:00,2024-10-05T16:19:56.7616012Z,,v3,471468,,,"Peltz, Ben",1000370416,Right,ASH_UNI,1b3a0e2f-03fd-4b60-b080-f41382525504,54.16378,-104.57378,10.34542,5.52175,0.48499,-14.10003,1.97927,-5.10608,4.35805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,100.669587,0.349367,1671.500761,0.999981,9:15,0.009006,0.982712,-0.184923,74.481036,-36.441947,18.503353,171.508329,-4.447644,0.147221,-0.077548,-0.986059,4.496741,-8.465911,0.077548,-0.147221,0.986059,-4.496741,8.465911,-0.077548,0.147221,0.986059,-171.508329,4.447644,-0.147221,0.077548,-0.986059
44,10/5/2024,20:07.6,1,2,"Beaver, Brendan",1000347722,Left,ASH_UNI,"White, Brayden",1000223004,Right,TOL_ROC,Undefined,2,Bottom,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,71.04453,0.247022,2.421165,1788.232365,115.143024,9:45,5.59854,-2.09569,5.93236,-47.15695,9.00193,-14.8017,1.89818,-1.08156,64.38998,-8.519614,-0.238669,0.539362,,,,,,,,,,,,8.34961,5.14744,1.91054,50,5.59206,-3.84827,-102.97989,-0.84429,8.81693,19.75834,-26.73852,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,b01de7f0-8335-11ef-8cc6-2f507be82399,69.88332,,,6.65455,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,20:07.6,2024-10-05T12:20:07.6057100-04:00,2024-10-05T16:20:07.6057100Z,,v3,471468,,,"Peltz, Ben",1000370416,Right,ASH_UNI,c061a23f-4558-492b-9a9f-c7b2597c2f80,54.56323,-103.85172,9.87917,5.60329,0.33555,-13.36926,2.08892,-4.23732,4.40846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,103.640373,-4.635839,1782.382196,0.996729,9:30,0.094852,0.968258,-0.231255,65.922349,-41.925564,23.185228,168.745052,-5.454737,0.194291,-0.095059,-0.976327,5.561033,-11.20332,0.095059,-0.194291,0.976327,-5.561033,11.20332,-0.095059,0.194291,0.976327,-168.745052,5.454737,-0.194291,0.095059,-0.976327
45,10/5/2024,20:20.8,1,3,"Beaver, Brendan",1000347722,Left,ASH_UNI,"White, Brayden",1000223004,Right,TOL_ROC,Undefined,2,Bottom,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,72.07981,1.158419,0.190926,1621.536697,118.807525,10:00,5.51059,-2.24199,6.22509,-46.20983,8.17678,-11.02847,2.72875,-2.98488,64.6586,-7.523331,-1.802081,0.530783,,,,,,,,,,,,5.70103,4.49866,2.23256,50,5.57518,0.03429,-104.47615,0.88644,6.13752,21.86323,-27.33095,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,b7fed010-8335-11ef-8cc6-2f507be82399,71.01283,,,7.42121,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,20:20.8,2024-10-05T12:20:20.8278540-04:00,2024-10-05T16:20:20.8278540Z,,v3,471468,,,"Peltz, Ben",1000370416,Right,ASH_UNI,998751ed-59ca-4deb-8723-9369e33c6bce,54.26705,-105.36531,10.93161,5.51653,1.99797,-13.66548,2.23624,-0.21532,3.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,99.529258,-11.356041,1589.79112,0.980423,9:15,0.216952,0.962715,-0.161588,74.241932,-38.805219,14.648949,165.185053,-9.021254,0.252535,-0.156801,-0.954798,9.3261,-14.627574,0.156801,-0.252535,0.954798,-9.3261,14.627574,-0.156801,0.252535,0.954798,-165.185053,9.021254,-0.252535,0.156801,-0.954798
46,10/5/2024,20:32.9,1,4,"Beaver, Brendan",1000347722,Left,ASH_UNI,"White, Brayden",1000223004,Right,TOL_ROC,Undefined,2,Bottom,0,1,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,88.61677,-0.478365,3.493993,2070.712166,123.445872,10:00,5.37182,-2.13028,5.76621,-26.38108,9.94749,-13.06749,2.72736,0.03654,79.86515,-5.414936,1.158938,0.433806,88.50749,30.726608,-0.039045,2598.729221,109.98909,58.22293,1.53455,303.84686,300.5621,2.304821,4.641185,7.77961,5.59674,1.84894,50,5.3164,-7.27201,-128.3232,-1.95969,12.77991,30.22369,-22.98006,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,bf205fd0-8335-11ef-8cc6-2f507be82399,86.88778,72.61172,,8.75161,,,,1.27777,2.79594,-0.05377,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,20:32.9,2024-10-05T12:20:32.8602636-04:00,2024-10-05T16:20:32.8602636Z,FlyBall,v3,471468,,,"Peltz, Ben",1000370416,Right,ASH_UNI,c342d3dd-67bb-4fc5-af71-009bad559a5d,54.73029,-129.43252,15.11185,5.37285,-1.11623,-11.49003,2.12446,-7.74108,6.38995,188.495995,1.27689,111.60908,-21.49515,5.20011,-1.28675,0.32486,-0.06672,0.00835,-0.00044,2.79788,66.28067,-17.4587,0.79965,0.17412,-0.15033,0.04374,-0.00593,0.00031,-0.0538,-0.07481,1.67011,-0.52067,0.12411,-0.02123,0.00203,-7.00E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,118.261791,-8.155757,2049.769134,0.989886,10:00,0.162895,0.873039,-0.459639,-92.171462,31.142009,-9.560661,158.72354,14.568335,0.351202,0.251535,-0.90188,15.583794,20.560827,0.251535,0.351202,0.90188,-15.583794,-20.560827,-0.251535,-0.351202,0.90188,-158.72354,-14.568335,-0.351202,-0.251535,-0.90188
47,10/5/2024,21:04.4,2,1,"Beaver, Brendan",1000347722,Left,ASH_UNI,"Leto, Luke",691784,Left,TOL_ROC,Undefined,2,Bottom,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.26906,0.535025,3.469042,1942.887265,314.839693,4:30,5.31683,-2.15262,5.76615,-53.62723,-3.37004,5.1189,1.34676,1.50642,68.69216,-9.283369,4.384115,0.510235,,,,,,,,,,,,-1.51555,-1.41902,1.86211,50,5.32869,-6.79551,-109.06259,-0.63705,-1.80042,21.63299,-33.85978,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,d1fd79d0-8335-11ef-8cc6-2f507be82399,73.87265,,,6.57689,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,21:04.4,2024-10-05T12:21:04.4413964-04:00,2024-10-05T16:21:04.4413964Z,,v3,471468,,,"Peltz, Ben",1000370416,Right,ASH_UNI,cfb9d969-a1c1-4a9e-91c9-644a8452ae7f,54.73269,-109.99733,10.81649,5.3246,0.826,-16.92989,2.15406,-6.71771,-0.90021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,336.243359,-74.239082,527.734523,0.271624,5:15,0.944535,-0.118406,0.306322,-10.626875,35.157653,-45.503656,149.660152,25.745678,0.454984,0.434377,-0.777371,29.195473,27.063933,0.434377,0.454984,0.777371,-29.195473,-27.063933,-0.434377,-0.454984,0.777371,-149.660152,-25.745678,-0.454984,-0.434377,-0.777371
48,10/5/2024,21:16.3,2,2,"Beaver, Brendan",1000347722,Left,ASH_UNI,"Leto, Luke",691784,Left,TOL_ROC,Undefined,2,Bottom,1,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.39199,-1.714307,4.299831,2157.108266,133.752974,10:30,5.65751,-1.88004,6.09556,-20.5717,15.39761,-14.50017,2.35266,0.89608,79.16905,-5.668454,1.696624,0.431656,,,,,,,,,,,,9.01032,8.97772,1.55558,50,5.51454,-9.07587,-129.08051,-4.46282,14.70893,34.98241,-17.51833,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,d8fe8940-8335-11ef-8cc6-2f507be82399,87.32059,,,10.22294,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,21:16.3,2024-10-05T12:21:16.3165708-04:00,2024-10-05T16:21:16.3165708Z,,v3,471468,,,"Peltz, Ben",1000370416,Right,ASH_UNI,976fc8cc-2ef5-4dca-9e85-14eb41174464,54.39674,-130.26663,17.49121,5.65579,-3.86885,-8.75916,1.87177,-9.57459,7.35447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,126.9466,-2.135122,2155.610679,0.999306,10:15,0.058344,0.799398,-0.597962,57.745507,-55.377333,16.639881,160.632696,4.910804,0.330405,0.085605,-0.939949,5.203793,19.293389,0.085605,0.330405,0.939949,-5.203793,-19.293389,-0.085605,-0.330405,0.939949,-160.632696,-4.910804,-0.330405,-0.085605,-0.939949
49,10/5/2024,21:28.0,2,3,"Beaver, Brendan",1000347722,Left,ASH_UNI,"Leto, Luke",691784,Left,TOL_ROC,Undefined,2,Bottom,1,1,1,ChangeUp,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.74903,0.786012,2.444632,1967.336321,327.462606,5:00,5.42159,-1.93878,5.8323,-51.86267,-4.01012,3.55327,1.83102,0.63102,70.29855,-8.724112,3.081751,0.497879,,,,,,,,,,,,-1.09591,-1.91099,1.73707,50,5.45486,-4.88285,-111.39305,-0.08522,-1.36602,21.4953,-34.55605,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,dffe8740-8335-11ef-8cc6-2f507be82399,75.70599,,,6.45048,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,21:28.0,2024-10-05T12:21:28.0097292-04:00,2024-10-05T16:21:28.0097292Z,,v3,471468,,,"Peltz, Ben",1000370416,Right,ASH_UNI,09291c02-4f26-4087-a23a-5902cc7304f1,54.66792,-112.29019,10.74765,5.42832,1.35704,-17.27803,1.93968,-4.82584,-0.68301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,344.788951,-71.083218,637.799654,0.324195,5:30,0.930531,-0.09803,0.352849,-6.422008,39.35115,-40.186932,151.878467,22.009172,0.436994,0.374755,-0.817677,24.622784,25.912223,0.374755,0.436994,0.817677,-24.622784,-25.912223,-0.374755,-0.436994,0.817677,-151.878467,-22.009172,-0.436994,-0.374755,-0.817677
50,10/5/2024,21:44.7,2,4,"Beaver, Brendan",1000347722,Left,ASH_UNI,"Leto, Luke",691784,Left,TOL_ROC,Undefined,2,Bottom,1,1,2,ChangeUp,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.95188,1.725566,1.682506,1934.201704,300.517578,4:00,5.23331,-2.156,5.92996,-51.29141,-2.10638,6.568,2.56119,-0.04718,68.68972,-7.758223,2.862099,0.504764,,,,,,,,,,,,-2.81406,-1.16583,2.01783,50,5.3424,-3.47146,-110.12775,1.76228,-3.39149,22.95927,-33.57908,TOL_ROC,ASH_UNI,ScottPark,TeamExclusive,Team,20241005-ScottPark-Private-1,e9f3a960-8335-11ef-8cc6-2f507be82399,74.67346,,,7.26216,,,,,,,4e74ce72-b89b-450a-9909-425843ca13a9,10/5/2024,21:44.7,2024-10-05T12:21:44.6504460-04:00,2024-10-05T16:21:44.6504460Z,,v3,471468,,,"Peltz, Ben",1000370416,Right,ASH_UNI,161250bc-7f89-4ef3-869c-bd5f7b555eb5,54.56781,-111.07596,11.47963,5.24098,3.14908,-16.78954,2.15831,-3.33139,-1.69574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,323.697765,-70.039772,660.274122,0.341368,4:45,0.924938,-0.230317,0.302398,26.05305,42.557368,-14.686079,153.156668,29.827744,0.391733,0.497394,-0.774044,32.724449,23.062369,0.497394,0.391733,0.774044,-32.724449,-23.062369,-0.497394,-0.391733,0.774044,-153.156668,-29.827744,-0.391733,-0.497394,-0.774044
