PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2024-10-17,15:30:57.01,1,1,"Beaver, Brenden",11,Left,ASH_UNI,"Dobbels, Gavin",12,Right,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.72541,-1.913038,4.663584,2098.494021,126.166379,10:15,5.5936,-1.83338,5.78029,-21.45733,15.37505,-19.31033,2.01901,0.90608,79.73606,-5.951258,1.218405,0.436804,,,,,,,,,,,,11.15386,8.75623,1.45953,50,5.42244,-9.52738,-126.91971,-4.92277,18.11343,27.0476,-17.95429,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241017-AshlandUniversity-Private-1,557daff0-8cbe-11ef-9a3c-fd361caa9e7d,86.2915,,,7.98935,,,,,,,3a03c50b-4e0c-4398-be55-53e21f56fb8b,2024-10-17,19:30:57.01,2024-10-17T15:30:57.0150000-04:00,2024-10-17T19:30:57.0150000Z,,v3,,,,"Peltz, Ben",4,Right,ASH_UNI,0bdd29cf-698b-4a16-96df-246a42b93b68,54.71678,-127.92095,13.5238,5.59237,-4.25815,-8.97715,1.82462,-10.1979,9.05672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,122.939671,7.931849,2078.417536,0.990433,10:00,-0.121331,0.826145,-0.55024,60.264968,-35.293099,18.488501,168.588193,3.222442,0.197546,0.056213,-0.978681,3.287292,11.393521,0.056213,0.197546,0.978681,-3.287292,-11.393521,-0.056213,-0.197546,0.978681,-168.588193,-3.222442,-0.197546,-0.056213,-0.978681
2,2024-10-17,15:31:08.70,1,2,"Beaver, Brenden",11,Left,ASH_UNI,"Dobbels, Gavin",12,Right,ASH_UNI,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,75.3186,-0.458449,3.49841,1939.333956,103.551739,9:30,5.45124,-1.85136,5.58139,-43.13305,7.30142,-22.92001,1.42787,-0.4902,68.52602,-8.402892,-0.590389,0.511135,85.97957,21.755866,5.255695,3279.916075,108.84393,36.59166,15.90195,307.22134,297.18794,12.706841,3.866189,12.73115,4.33095,1.56594,50,5.3837,-5.82454,-109.12088,-2.19658,15.17945,21.19901,-27.01024,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241017-AshlandUniversity-Private-1,5c837a50-8cbe-11ef-9a3c-fd361caa9e7d,73.74269,43.60584,,6.79258,,,,0.68383,1.41042,0.47821,3a03c50b-4e0c-4398-be55-53e21f56fb8b,2024-10-17,19:31:08.70,2024-10-17T15:31:08.7090000-04:00,2024-10-17T19:31:08.7090000Z,LineDrive,v3,,,,"Peltz, Ben",4,Right,ASH_UNI,c8c4a892-cb2c-4e1c-968c-7f8a8b886518,54.91708,-110.07198,10.59951,5.45507,-0.98476,-13.50512,1.84254,-6.50557,7.58973,211.875373,0.68375,116.63343,-18.93633,4.15965,-0.94402,0.24296,-0.06202,0.01064,-0.00077,1.41102,46.7201,-13.0747,-0.40565,0.58265,-0.30883,0.1017,-0.01737,0.00116,0.47818,10.72916,4.76224,-1.82711,0.5306,-0.12278,0.02293,-0.0029,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,102.405771,-2.539769,1937.428957,0.999018,9:30,0.049533,0.976015,-0.211995,-103.504447,22.450471,-4.467647,178.444335,-3.220288,0.027105,-0.056175,-0.998053,3.221473,-1.553208,0.056175,-0.027105,0.998053,-3.221473,1.553208,-0.056175,0.027105,0.998053,-178.444335,3.220288,-0.027105,0.056175,-0.998053
3,2024-10-17,15:31:37.95,2,1,"Beaver, Brenden",11,Left,ASH_UNI,"Kruekeberg, Saun",13,Left,ASH_UNI,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.06269,-0.363696,5.441787,2270.426572,120.407132,10:00,5.69835,-1.86949,5.85007,-22.10434,12.86989,-19.86206,3.51684,1.54706,81.47076,-4.524788,1.901428,0.425643,,,,,,,,,,,,11.63623,7.02607,1.4371,50,5.65583,-11.51577,-130.18699,-1.54444,19.84262,28.96466,-20.1929,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241017-AshlandUniversity-Private-1,6de62950-8cbe-11ef-9a3c-fd361caa9e7d,88.55412,,,8.59192,,,,,,,3a03c50b-4e0c-4398-be55-53e21f56fb8b,2024-10-17,19:31:37.95,2024-10-17T15:31:37.9560000-04:00,2024-10-17T19:31:37.9560000Z,,v3,,,,"Peltz, Ben",4,Right,ASH_UNI,a07283b4-ad0e-4f2c-84d4-f1b29493c7f0,54.64579,-131.21654,14.48233,5.69797,-0.82669,-10.09645,1.85897,-12.22107,9.92131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,125.444475,0.23221,2270.407925,0.999992,10:15,0.045813,0.814629,-0.57817,72.160708,-29.286876,-86.724116,96.995259,4.244038,0.989835,0.074005,-0.121453,31.355072,81.823455,0.074005,0.989835,0.121453,-31.355072,-81.823455,-0.074005,-0.989835,0.121453,-96.995259,-4.244038,-0.989835,-0.074005,-0.121453
4,2024-10-17,15:31:50.40,2,2,"Beaver, Brenden",11,Left,ASH_UNI,"Kruekeberg, Saun",13,Left,ASH_UNI,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.55042,1.187546,4.130566,1868.875762,113.411524,9:45,5.59348,-1.70329,6.19194,-40.25809,11.47052,-22.30765,3.33803,0.25779,66.64035,-6.364858,0.115702,0.517651,,,,,,,,,,,,12.7039,6.12185,1.40219,50,5.66315,-6.91942,-106.53644,1.14456,14.4545,20.0137,-25.20861,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241017-AshlandUniversity-Private-1,7562aa50-8cbe-11ef-9a3c-fd361caa9e7d,72.81442,,,6.91007,,,,,,,3a03c50b-4e0c-4398-be55-53e21f56fb8b,2024-10-17,19:31:50.40,2024-10-17T15:31:50.4020000-04:00,2024-10-17T19:31:50.4020000Z,,v3,,,,"Peltz, Ben",4,Right,ASH_UNI,88ce500c-77cd-4cd5-bc8b-6446d713a5ca,54.30416,-107.34197,10.00685,5.59666,2.15917,-12.6043,1.69239,-7.50119,7.22725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,108.966922,-3.270042,1865.832817,0.998372,9:45,0.099772,0.942782,-0.318133,51.364031,-46.536381,30.321608,171.051114,-0.738207,0.15554,-0.012884,-0.987746,0.747303,-8.948137,0.012884,-0.15554,0.987746,-0.747303,8.948137,-0.012884,0.15554,0.987746,-171.051114,0.738207,-0.15554,0.012884,-0.987746
5,2024-10-17,15:32:04.10,2,3,"Beaver, Brenden",11,Left,ASH_UNI,"Kruekeberg, Saun",13,Left,ASH_UNI,Undefined,1,Top,1,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.62452,0.308775,2.844832,1894.890492,317.498679,4:30,5.42179,-1.81989,5.43613,-50.84542,-1.46634,3.00185,1.47418,1.0964,69.36715,-8.983912,3.378835,0.505758,,,,,,,,,,,,-0.55335,-0.31398,1.56584,50,5.41428,-5.62871,-110.92754,-1.07849,-0.67584,23.50798,-32.5575,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241017-AshlandUniversity-Private-1,7d881580-8cbe-11ef-9a3c-fd361caa9e7d,74.52658,,,7.25737,,,,,,,3a03c50b-4e0c-4398-be55-53e21f56fb8b,2024-10-17,19:32:04.10,2024-10-17T15:32:04.1040000-04:00,2024-10-17T19:32:04.1040000Z,,v3,,,,"Peltz, Ben",4,Right,ASH_UNI,f1d6e8a3-3dd7-4639-bffb-c5c6511e9a50,55.0599,-111.99471,11.75399,5.4297,0.39949,-16.27875,1.82067,-5.59803,-0.33792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,326.414483,-71.169392,611.61638,0.322771,5:00,0.93099,-0.183649,0.315483,-9.327656,26.885233,-46.654553,148.192046,33.115599,0.441461,0.54633,-0.711783,37.508077,26.197148,0.54633,0.441461,0.711783,-37.508077,-26.197148,-0.54633,-0.441461,0.711783,-148.192046,-33.115599,-0.441461,-0.54633,-0.711783
6,2024-10-17,15:32:23.15,2,4,"Beaver, Brenden",11,Left,ASH_UNI,"Kruekeberg, Saun",13,Left,ASH_UNI,Undefined,1,Top,1,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.02506,-1.013491,4.978251,2292.107789,131.416283,10:30,5.69997,-1.37863,5.86244,-18.92962,15.40958,-16.06899,3.17733,1.91864,82.0578,-4.611577,2.11103,0.421761,,,,,,,,,,,,9.68693,8.52733,0.98328,50,5.60661,-10.74364,-131.58687,-2.91821,16.79498,30.82963,-17.38956,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241017-AshlandUniversity-Private-1,88cd3740-8cbe-11ef-9a3c-fd361caa9e7d,89.36918,,,8.96726,,,,,,,3a03c50b-4e0c-4398-be55-53e21f56fb8b,2024-10-17,19:32:23.15,2024-10-17T15:32:23.1580000-04:00,2024-10-17T19:32:23.1580000Z,,v3,,,,"Peltz, Ben",4,Right,ASH_UNI,87be7f63-372b-4d7a-8da9-9ce2d12a0fcb,54.63264,-132.66782,15.41481,5.69824,-2.3085,-8.69478,1.3703,-11.3325,8.39749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,119.832953,14.387522,2220.2211,0.968637,10:00,-0.220494,0.835746,-0.502902,44.323752,-25.795224,-70.235624,96.226305,0.04529,0.994101,0.00079,-0.108456,0.417579,83.773531,0.00079,0.994101,0.108456,-0.417579,-83.773531,-0.00079,-0.994101,0.108456,-96.226305,-0.04529,-0.994101,-0.00079,-0.108456
7,2024-10-17,15:32:37.86,2,5,"Beaver, Brenden",11,Left,ASH_UNI,"Kruekeberg, Saun",13,Left,ASH_UNI,Undefined,1,Top,1,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,77.33011,0.279425,2.224502,1985.714451,263.161565,2:45,5.49531,-1.66412,5.20304,-46.36971,1.9687,2.9065,1.89416,0.67125,70.60855,-8.162649,2.739523,0.5004,74.51899,-13.444054,19.242115,,,,,10.41098,10.41098,11.871474,0.078979,-0.78701,1.33091,1.45583,50,5.48617,-4.46832,-112.09185,-1.0236,-0.99291,21.85284,-30.49498,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241017-AshlandUniversity-Private-1,91d07f50-8cbe-11ef-9a3c-fd361caa9e7d,75.32455,2.01175,,6.72157,,,,2.24272,2.01175,-0.63178,3a03c50b-4e0c-4398-be55-53e21f56fb8b,2024-10-17,19:32:37.86,2024-10-17T15:32:37.8690000-04:00,2024-10-17T19:32:37.8690000Z,GroundBall,v3,,,,"Peltz, Ben",4,Right,ASH_UNI,6602082f-47ac-4869-bea6-122d4138b26e,55.29468,-113.11936,10.92642,5.50059,0.41026,-15.24749,1.66483,-4.42163,-0.49645,,2.23964,100.60355,,,,,,,,2.01253,-25.47191,,,,,,,,-0.63285,35.1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,328.195598,-75.690666,490.782985,0.247157,5:00,0.959446,-0.134981,0.247474,-22.102702,22.956917,-56.864208,145.263126,29.370796,0.496568,0.49046,-0.716149,34.405548,29.773171,0.49046,0.496568,0.716149,-34.405548,-29.773171,-0.49046,-0.496568,0.716149,-145.263126,-29.370796,-0.496568,-0.49046,-0.716149
8,2024-10-17,15:33:09.45,3,1,"Beaver, Brenden",11,Left,ASH_UNI,"Overholt, Collin",14,Right,ASH_UNI,Undefined,1,Top,2,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.5111,-0.921758,3.099622,2222.710822,113.636104,9:45,5.50105,-1.95314,5.4739,-23.65781,11.71776,-23.69462,2.66569,-1.02437,81.10746,-5.355512,-1.116598,0.428078,73.89117,13.141418,165.656479,1307.345095,,,,119.76888,60.77758,165.261937,1.313772,12.9389,6.59146,1.69727,50,5.40432,-5.99877,-130.99179,-2.93887,22.02633,32.89377,-20.9532,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241017-AshlandUniversity-Private-1,a463e620-8cbe-11ef-9a3c-fd361caa9e7d,88.05035,9.46762,,9.40364,,,,0.60158,2.51463,0.9516,3a03c50b-4e0c-4398-be55-53e21f56fb8b,2024-10-17,19:33:09.45,2024-10-17T15:33:09.4560000-04:00,2024-10-17T19:33:09.4560000Z,GroundBall,v3,,,,"Peltz, Ben",4,Right,ASH_UNI,936414b6-725c-4dbd-bdc1-2f4e654870f3,55.02207,-132.24688,16.44689,5.5012,-2.13938,-10.4766,1.94219,-6.83921,11.01316,,0.60161,-102.24904,10.61829,-0.5788,1.21706,-1.96449,1.78731,-0.81579,0.14297,2.51463,24.63959,-23.32473,2.89013,-0.62927,0.35714,-0.25943,0.12939,-0.02747,0.95159,26.14582,-2.59402,-0.0927,-0.30458,0.56252,-0.51924,0.23613,-0.04094,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-10-17,15:33:26.38,3,2,"Beaver, Brenden",11,Left,ASH_UNI,"Overholt, Collin",14,Right,ASH_UNI,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.98366,1.89342,2.459484,2017.763813,106.808978,9:30,5.37849,-2.10175,6.29633,-39.90951,8.80516,-23.04104,3.79955,-1.75427,68.07085,-5.637224,-1.703957,0.502344,,,,,,,,,,,,12.59985,4.51059,1.93034,50,5.49937,-3.88587,-110.09291,2.55149,15.12142,23.58271,-26.76077,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241017-AshlandUniversity-Private-1,ae9d8b50-8cbe-11ef-9a3c-fd361caa9e7d,75.03311,,,7.91281,,,,,,,3a03c50b-4e0c-4398-be55-53e21f56fb8b,2024-10-17,19:33:26.38,2024-10-17T15:33:26.3800000-04:00,2024-10-17T19:33:26.3800000Z,,v3,,,,"Peltz, Ben",4,Right,ASH_UNI,3432baed-4f5f-4298-989f-40e1ba749a86,54.1973,-110.98836,11.79136,5.3832,3.56761,-13.38039,2.08879,-4.46004,7.56071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,105.134013,-7.191066,2001.892553,0.992134,9:30,0.167725,0.953066,-0.252059,74.428403,-29.44377,14.87098,166.506524,-9.686529,0.230008,-0.168258,-0.958533,9.956073,-13.297543,0.168258,-0.230008,0.958533,-9.956073,13.297543,-0.168258,0.230008,0.958533,-166.506524,9.686529,-0.230008,0.168258,-0.958533
10,2024-10-17,15:33:38.87,3,3,"Beaver, Brenden",11,Left,ASH_UNI,"Overholt, Collin",14,Right,ASH_UNI,Undefined,1,Top,2,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,74.24257,-0.298387,3.230108,1922.192256,109.733866,9:45,5.50651,-1.85401,6.30715,-40.8099,10.07296,-22.73529,1.83037,-0.76984,66.9819,-7.966179,-0.881206,0.513401,,,,,,,,,,,,12.86879,5.89693,1.62727,50,5.46548,-5.29812,-107.61465,-1.63708,14.78503,22.2068,-25.39905,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241017-AshlandUniversity-Private-1,b5febc20-8cbe-11ef-9a3c-fd361caa9e7d,73.41708,,,7.26066,,,,,,,3a03c50b-4e0c-4398-be55-53e21f56fb8b,2024-10-17,19:33:38.87,2024-10-17T15:33:38.8720000-04:00,2024-10-17T19:33:38.8720000Z,,v3,,,,"Peltz, Ben",4,Right,ASH_UNI,248b9089-6cab-4779-80ae-4d2dab8c21c4,54.18904,-108.47563,11.1034,5.50986,-0.65233,-12.69952,1.8438,-5.87136,7.39252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,109.242898,-8.712316,1900.012751,0.988461,9:45,0.164734,0.934012,-0.316992,71.868422,-39.056113,15.672071,173.007779,-12.342226,0.118921,-0.21375,-0.969623,12.431841,-6.82984,0.21375,-0.118921,0.969623,-12.431841,6.82984,-0.21375,0.118921,0.969623,-173.007779,12.342226,-0.118921,0.21375,-0.969623
