PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2024-10-16,15:31:45.34,1,1,"Stevens, Ethan",250548,Right,ASH_UNI,"Miller, Cameron",10005975,Left,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.53345,-3.023425,-2.782416,1732.041789,200.902485,12:45,6.04523,1.65465,6.04192,-19.91808,15.83985,5.58622,1.58027,-0.45794,80.6719,-6.783314,-1.778135,0.430386,,,,,,,,,,,,-3.70685,9.41867,-1.44073,50,5.7985,6.00629,-128.27605,-7.37424,-6.13925,28.02525,-16.57496,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241016-AshlandUniversity-Private-1,47cc6280-8bf5-11ef-9b2d-a753a00dd5ee,87.57829,,,7.86155,,,,,,,d323fffa-d6cd-4d95-960d-7f95fcc2ef13,2024-10-16,19:31:45.34,2024-10-16T15:31:45.3421862-04:00,2024-10-16T19:31:45.3421862Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,9bc5936a-228d-412a-9a90-f51376d07c1d,54.45485,-129.24566,14.01263,6.04371,-6.80078,-8.28748,-1.6522,6.2187,-3.06962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,209.031313,19.768221,1629.96998,0.941069,1:00,-0.35323,-0.473892,-0.806632,-49.148273,28.69695,-46.527359,151.352913,6.719452,0.47612,0.117008,-0.871561,7.646295,28.432308,0.117008,0.47612,0.871561,-7.646295,-28.432308,-0.117008,-0.47612,0.871561,-151.352913,-6.719452,-0.47612,-0.117008,-0.871561
2,2024-10-16,15:32:02.38,1,2,"Stevens, Ethan",250548,Right,ASH_UNI,"Miller, Cameron",10005975,Left,ASH_UNI,Undefined,1,Top,0,0,1,ChangeUp,Splitter,InPlay,Undefined,LineDrive,Single,0,0,,80.55233,-1.24525,-1.91901,1037.421293,253.946441,2:30,6.12425,1.60574,5.57259,-38.50049,5.38059,13.56107,1.75193,0.94273,73.59247,-8.315349,0.504084,0.476771,75.61302,15.294711,-11.29347,1626.062076,106.3142,14.17669,-28.23601,173.94565,170.54665,-16.514016,1.958031,-7.4513,3.52705,-1.44962,50,5.99183,3.37846,-116.84003,-3.81603,-10.22405,23.54214,-27.33456,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241016-AshlandUniversity-Private-1,5205e0a0-8bf5-11ef-9b2d-a753a00dd5ee,79.0577,14.89855,,6.95986,,,,0.89505,1.66067,-0.95983,d323fffa-d6cd-4d95-960d-7f95fcc2ef13,2024-10-16,19:32:02.38,2024-10-16T15:32:02.3829798-04:00,2024-10-16T19:32:02.3829798Z,LineDrive,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,b7762529-adf3-4fea-8e2c-c7975c135f01,54.92492,-117.82817,11.77107,6.12792,-2.6687,-13.66728,-1.60043,3.8076,-5.11202,115.322422,0.89504,104.90043,-13.94752,2.61511,-0.49582,0.06652,-0.00596,0.00018,4E-05,1.66068,29.25275,-16.98827,1.01063,-0.14146,0.03203,-0.00691,0.00182,-0.00022,-0.95984,-20.94735,-3.52983,1.30607,-0.3488,0.05592,-0.00192,-0.00153,0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,219.955984,10.966716,1018.47576,0.981738,1:15,-0.201594,-0.634456,-0.746207,-79.797986,35.131921,31.592758,178.326911,54.019074,0.017154,0.809213,-0.587265,54.030688,0.982875,0.809213,0.017154,0.587265,-54.030688,-0.982875,-0.809213,-0.017154,0.587265,-178.326911,-54.019074,-0.017154,-0.809213,-0.587265
3,2024-10-16,15:32:41.74,2,1,"Stevens, Ethan",250548,Right,ASH_UNI,"Hunt, Colton",10050479,Right,ASH_UNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.48948,-3.833327,-3.146881,1915.128364,195.514624,12:30,6.09937,1.46913,5.95532,-16.24233,18.94588,4.92457,1.1803,-1.04171,81.51255,-6.923124,-2.26384,0.426943,,,,,,,,,,,,-3.48343,11.25194,-1.22182,50,5.78512,6.91861,-129.51137,-9.15348,-5.87997,28.6071,-13.18103,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241016-AshlandUniversity-Private-1,6978fd80-8bf5-11ef-9b2d-a753a00dd5ee,88.28443,,,7.97693,,,,,,,d323fffa-d6cd-4d95-960d-7f95fcc2ef13,2024-10-16,19:32:41.74,2024-10-16T15:32:41.7432358-04:00,2024-10-16T19:32:41.7432358Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,09b580ff-8ccd-44db-836a-55444b163bd2,54.54254,-130.51089,14.30355,6.0969,-8.69294,-6.59052,-1.46715,7.12406,-2.93998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,208.367183,17.719796,1824.267741,0.952556,1:00,-0.319024,-0.471914,-0.8219,-45.160238,32.154899,-40.662139,150.38859,3.994609,0.492915,0.069663,-0.867284,4.592291,29.532331,0.069663,0.492915,0.867284,-4.592291,-29.532331,-0.069663,-0.492915,0.867284,-150.38859,-3.994609,-0.492915,-0.069663,-0.867284
4,2024-10-16,15:33:04.29,2,2,"Stevens, Ethan",250548,Right,ASH_UNI,"Hunt, Colton",10050479,Right,ASH_UNI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.21519,-1.982509,-2.27523,1881.750589,192.884956,12:30,6.12507,1.41796,5.97039,-17.71607,17.53178,3.73803,2.80858,-0.38099,81.11918,-5.354845,-1.604008,0.427305,69.5135,30.758072,140.081211,3630.620597,,,,,56.90267,,,-2.58925,9.93867,-1.23983,50,5.95814,4.98282,-129.37832,-4.99331,-4.36163,28.54938,-15.43231,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241016-AshlandUniversity-Private-1,76e85240-8bf5-11ef-9b2d-a753a00dd5ee,88.20973,27.94111,,8.09602,,,,-0.11152,2.67408,0.49747,d323fffa-d6cd-4d95-960d-7f95fcc2ef13,2024-10-16,19:33:04.29,2024-10-16T15:33:04.2900774-04:00,2024-10-16T19:33:04.2900774Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,3e8bb2a8-5e87-418d-8dc7-d8a1d61d8dee,54.52538,-130.37309,14.27469,6.12276,-4.45559,-7.71616,-1.4161,5.1348,-2.18082,,-0.11152,-67.19419,2.05852,0.19924,-0.15861,0.10186,-0.10874,0.08805,-0.02919,2.67408,52.14019,-23.58907,2.37344,-0.46976,0.08155,-0.01625,0.00374,-0.00045,0.49747,56.22053,-10.15504,2.50439,-0.5869,0.19706,-0.17303,0.13398,-0.04389,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,208.576107,17.892444,1790.739588,0.951635,1:00,-0.324248,-0.465547,-0.823486,-44.226112,25.776141,-50.349891,150.262466,4.543646,0.494469,0.079218,-0.865578,5.229195,29.634724,0.079218,0.494469,0.865578,-5.229195,-29.634724,-0.079218,-0.494469,0.865578,-150.262466,-4.543646,-0.494469,-0.079218,-0.865578
5,2024-10-16,15:33:34.30,2,3,"Stevens, Ethan",250548,Right,ASH_UNI,"Hunt, Colton",10050479,Right,ASH_UNI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.98284,-2.561805,-3.785462,2205.103395,197.39629,12:30,6.1194,1.50396,6.19329,-17.00473,17.75607,5.16414,2.33053,-1.56553,81.15946,-5.82863,-2.85652,0.424342,,,,,,,,,,,,-3.86607,10.35918,-1.22105,50,5.91736,8.39508,-130.18197,-6.29162,-6.53749,31.05989,-14.65677,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241016-AshlandUniversity-Private-1,88c895b0-8bf5-11ef-9b2d-a753a00dd5ee,88.82557,,,8.82338,,,,,,,d323fffa-d6cd-4d95-960d-7f95fcc2ef13,2024-10-16,19:33:34.30,2024-10-16T15:33:34.3018278-04:00,2024-10-16T19:33:34.3018278Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,6406ad26-873d-4fea-8f82-2cd07aefe1a0,54.30044,-131.20399,15.52995,6.11645,-5.80934,-7.32839,-1.50083,8.6102,-3.26875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,206.624196,20.734883,2062.275878,0.935229,1:00,-0.389424,-0.434516,-0.812124,-40.619351,11.701019,-58.748457,160.656704,4.105897,0.330377,0.0716,-0.941129,4.35062,19.291682,0.0716,0.330377,0.941129,-4.35062,-19.291682,-0.0716,-0.330377,0.941129,-160.656704,-4.105897,-0.330377,-0.0716,-0.941129
6,2024-10-16,15:34:19.79,2,4,"Stevens, Ethan",250548,Right,ASH_UNI,"Hunt, Colton",10050479,Right,ASH_UNI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.06583,-2.926587,-2.308331,2062.655399,203.491151,12:45,6.1738,1.44589,6.14114,-15.83402,18.60481,7.57056,2.14525,-0.05754,81.83126,-5.964678,-0.944287,0.422373,69.64163,27.747004,140.835909,4086.841478,,,,,57.74007,,,-4.61244,10.85205,-1.27382,50,5.94231,4.95092,-130.55932,-7.10764,-7.90023,29.45872,-13.58659,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241016-AshlandUniversity-Private-1,a3e113e0-8bf5-11ef-9b2d-a753a00dd5ee,89.23977,24.84278,,8.23457,,,,0.48682,2.07506,0.15951,d323fffa-d6cd-4d95-960d-7f95fcc2ef13,2024-10-16,19:34:19.79,2024-10-16T15:34:19.7941542-04:00,2024-10-16T19:34:19.7941542Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,410c4eeb-e776-422a-85d5-6cde56dc090d,54.35548,-131.5384,14.72936,6.17103,-6.65609,-6.7933,-1.44273,5.21349,-3.95011,,0.48682,-70.0876,3.54738,-0.7048,0.10112,-0.02085,0.01998,-0.0168,0.00571,2.07506,47.5534,-22.08054,1.81239,-0.34869,0.35114,-0.5316,0.43891,-0.14879,0.15951,57.08928,-12.10447,3.74632,-0.64487,-0.50119,1.01997,-0.85715,0.29137,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,205.672388,18.001757,1961.682315,0.951047,12:45,-0.321898,-0.427259,-0.844886,-40.346047,20.174218,-47.717074,157.252681,5.20399,0.385074,0.090702,-0.918418,5.640179,22.648334,0.090702,0.385074,0.918418,-5.640179,-22.648334,-0.090702,-0.385074,0.918418,-157.252681,-5.20399,-0.385074,-0.090702,-0.918418
7,2024-10-16,15:34:50.01,2,5,"Stevens, Ethan",250548,Right,ASH_UNI,"Hunt, Colton",10050479,Right,ASH_UNI,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,81.59238,-3.645978,-3.442264,1426.504427,229.79198,1:45,6.12019,1.66764,5.64842,-29.73506,13.48749,14.05544,0.23087,-0.37558,73.98304,-9.155797,-0.932149,0.47318,,,,,,,,,,,,-8.34508,8.48,-1.38499,50,5.79149,6.54844,-117.92124,-8.45262,-11.56468,25.73094,-20.42239,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241016-AshlandUniversity-Private-1,b5e8dc80-8bf5-11ef-9b2d-a753a00dd5ee,79.65772,,,7.60934,,,,,,,d323fffa-d6cd-4d95-960d-7f95fcc2ef13,2024-10-16,19:34:50.01,2024-10-16T15:34:50.0184358-04:00,2024-10-16T19:34:50.0184358Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,2c7eb78e-0062-4928-b870-5ce9d01b34b4,54.8493,-118.97467,12.86547,6.12043,-7.61652,-10.2112,-1.66278,7.0219,-5.78234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,216.656701,14.295469,1382.333091,0.969035,1:15,-0.255931,-0.593064,-0.763397,-88.523643,43.314384,41.562804,161.797209,71.710989,0.098028,0.949486,-0.298106,72.569481,5.625651,0.949486,0.098028,0.298106,-72.569481,-5.625651,-0.949486,-0.098028,0.298106,-161.797209,-71.710989,-0.098028,-0.949486,-0.298106
8,2024-10-16,15:35:45.27,2,6,"Stevens, Ethan",250548,Right,ASH_UNI,"Hunt, Colton",10050479,Right,ASH_UNI,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.34932,-1.951679,-2.425396,1816.857314,194.352121,12:30,6.21956,1.33184,6.15201,-17.78906,17.23788,4.09831,2.93163,-0.56885,80.96614,-5.354584,-1.687072,0.425964,83.09599,32.427567,67.130406,4837.311794,33.04567,54.93715,104.91868,,172.9056,,,-2.86047,9.86615,-1.14947,50,6.06191,5.31809,-129.55538,-4.91287,-4.81247,29.62439,-15.57517,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241016-AshlandUniversity-Private-1,d6d73090-8bf5-11ef-9b2d-a753a00dd5ee,88.48747,61.37395,,8.38319,,,,0.09108,2.78725,0.66815,d323fffa-d6cd-4d95-960d-7f95fcc2ef13,2024-10-16,19:35:45.27,2024-10-16T15:35:45.2757286-04:00,2024-10-16T19:35:45.2757286Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,d2f8136c-3772-448d-bbb4-710a26657c84,54.34344,-130.54478,14.8122,6.2173,-4.39269,-7.78758,-1.32977,5.47882,-2.40623,,0.09108,39.9787,-14.15643,3.3798,-0.78316,0.14432,-0.02145,0.00204,-7E-05,2.78725,65.35281,-20.95506,1.99693,-0.38663,0.07498,-0.01243,0.00191,-0.00017,0.66815,94.78373,-10.64292,1.33303,-0.18229,0.01622,-0.00351,0.00079,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,206.822835,19.071673,1717.131055,0.945111,1:00,-0.34745,-0.437346,-0.829462,-36.961163,13.634859,-56.36611,158.766511,2.064029,0.361934,0.036016,-0.931508,2.214212,21.219046,0.036016,0.361934,0.931508,-2.214212,-21.219046,-0.036016,-0.361934,0.931508,-158.766511,-2.064029,-0.361934,-0.036016,-0.931508
9,2024-10-16,15:36:14.80,2,7,"Stevens, Ethan",250548,Right,ASH_UNI,"Hunt, Colton",10050479,Right,ASH_UNI,Undefined,1,Top,0,3,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.98983,-0.23796,-1.643864,2431.551911,56.901804,8:00,5.98075,1.89025,5.24836,-55.4529,-6.58697,-12.65725,1.13598,-0.70967,70.43739,-10.264148,-3.893459,0.503123,,,,,,,,,,,,5.85091,-2.80599,-1.72948,50,5.91751,3.69545,-111.64668,-2.36352,7.28042,22.75867,-35.66558,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241016-AshlandUniversity-Private-1,e87e3b90-8bf5-11ef-9b2d-a753a00dd5ee,74.91688,,,6.55244,,,,,,,d323fffa-d6cd-4d95-960d-7f95fcc2ef13,2024-10-16,19:36:14.80,2024-10-16T15:36:14.8059430-04:00,2024-10-16T19:36:14.8059430Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,46a14ffb-28b6-4a9d-8591-8029d278ffde,55.25127,-112.71204,11.37934,5.98907,-0.69396,-17.83279,-1.89449,3.35465,3.64021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,38.633029,63.208906,1095.994756,0.450739,7:15,-0.883348,0.2777,0.377595,42.273296,-11.591179,-16.679633,136.482156,-56.202493,0.383029,-0.831009,-0.403377,64.107758,-22.521457,0.831009,-0.383029,0.403377,-64.107758,22.521457,-0.831009,0.383029,0.403377,-136.482156,56.202493,-0.383029,0.831009,-0.403377
10,2024-10-16,15:36:50.84,2,8,"Stevens, Ethan",250548,Right,ASH_UNI,"Hunt, Colton",10050479,Right,ASH_UNI,Undefined,1,Top,0,3,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,75.6381,0.842861,0.097555,2257.808381,64.324347,8:15,5.91929,1.7591,5.63798,-56.14062,-6.4641,-16.88485,2.02727,0.44304,69.22378,-9.409217,-2.926277,0.507279,,,,,,,,,,,,8.59591,-3.04571,-1.75642,50,5.95513,0.43939,-109.83788,-0.18987,10.38759,21.41804,-35.85459,ASH_UNI,ASH_UNI,AshlandUniversity,TeamExclusive,Team,20241016-AshlandUniversity-Private-1,fde7ccd0-8bf5-11ef-9b2d-a753a00dd5ee,74.30314,,,6.41432,,,,,,,d323fffa-d6cd-4d95-960d-7f95fcc2ef13,2024-10-16,19:36:50.84,2024-10-16T15:36:50.8485414-04:00,2024-10-16T19:36:50.8485414Z,,v3,,,,"Goddard, Noah",1,Right,ASH_UNI,10b4e971-e52b-4d17-875e-b92becfe8e82,54.86201,-110.7819,10.70902,5.92868,1.39045,-17.9273,-1.76569,-0.01846,5.1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
